order_id,order_date,product,category,quantity,unit_price,region,sales_channel,revenue,month
ORD-10162,2025-01-04,Office Chair,Furniture,4,271.94,North,Retail,1087.76,2025-01
ORD-10206,2025-01-06,Backpack,Accessories,6,52.75,South,Wholesale,316.5,2025-01
ORD-10252,2025-01-08,Mechanical Keyboard,Electronics,2,82.87,West,Online,165.74,2025-01
ORD-10077,2025-01-09,Noise-Canceling Headphones,Electronics,3,223.14,South,Wholesale,669.42,2025-01
ORD-10054,2025-01-09,Desk Lamp,Furniture,2,40.17,East,Online,80.34,2025-01
ORD-10271,2025-01-09,Wireless Mouse,Electronics,3,40.44,West,Wholesale,121.32,2025-01
ORD-10359,2025-01-10,Backpack,Accessories,3,61.9,South,Wholesale,185.7,2025-01
ORD-10055,2025-01-11,Desk Lamp,Furniture,7,40.82,West,Online,285.74,2025-01
ORD-10230,2025-01-12,Laptop Pro 14,Electronics,6,1473.67,South,Wholesale,8842.02,2025-01
ORD-10025,2025-01-12,Notebook Pack,Stationery,6,22.05,North,Online,132.3,2025-01
ORD-10009,2025-01-12,Standing Desk,Furniture,5,449.2,West,Wholesale,2246.0,2025-01
ORD-10150,2025-01-12,Mechanical Keyboard,Electronics,5,112.21,East,Online,561.05,2025-01
ORD-10102,2025-01-12,Backpack,Accessories,6,60.39,North,Retail,362.34,2025-01
ORD-10084,2025-01-14,Pen Set,Stationery,2,10.43,West,Wholesale,20.86,2025-01
ORD-10096,2025-01-14,Backpack,Accessories,1,49.02,North,Online,49.02,2025-01
ORD-10146,2025-01-15,Desk Lamp,Furniture,6,44.07,South,Retail,264.42,2025-01
ORD-10200,2025-01-17,Notebook Pack,Stationery,3,21.15,East,Retail,63.45,2025-01
ORD-10274,2025-01-17,Mechanical Keyboard,Electronics,1,86.07,North,Retail,86.07,2025-01
ORD-10120,2025-01-17,Standing Desk,Furniture,1,592.19,East,Retail,592.19,2025-01
ORD-10222,2025-01-19,Pen Set,Stationery,4,11.67,East,Wholesale,46.68,2025-01
ORD-10056,2025-01-19,Backpack,Accessories,4,60.08,West,Online,240.32,2025-01
ORD-10068,2025-01-21,Wireless Mouse,Electronics,6,34.43,East,Online,206.58,2025-01
ORD-10233,2025-01-22,Laptop Pro 14,Electronics,5,1446.27,South,Wholesale,7231.35,2025-01
ORD-10325,2025-01-22,Laptop Pro 14,Electronics,2,1251.06,North,Retail,2502.12,2025-01
ORD-10284,2025-01-25,Laptop Pro 14,Electronics,4,1171.0,West,Wholesale,4684.0,2025-01
ORD-10312,2025-01-28,Laptop Pro 14,Electronics,6,1434.02,North,Online,8604.12,2025-01
ORD-10004,2025-01-28,Backpack,Accessories,6,53.92,South,Wholesale,323.52,2025-01
ORD-10183,2025-01-30,Office Chair,Furniture,2,311.63,South,Retail,623.26,2025-01
ORD-10028,2025-01-31,Notebook Pack,Stationery,5,21.09,East,Wholesale,105.45,2025-01
ORD-10304,2025-01-31,Noise-Canceling Headphones,Electronics,2,253.09,North,Online,506.18,2025-01
ORD-10216,2025-02-02,Mechanical Keyboard,Electronics,6,103.39,North,Online,620.34,2025-02
ORD-10038,2025-02-04,Mechanical Keyboard,Electronics,1,95.36,West,Online,95.36,2025-02
ORD-10052,2025-02-04,Wireless Mouse,Electronics,1,36.0,South,Wholesale,36.0,2025-02
ORD-10264,2025-02-04,Notebook Pack,Stationery,2,21.97,East,Retail,43.94,2025-02
ORD-10297,2025-02-04,Desk Lamp,Furniture,4,51.72,South,Online,206.88,2025-02
ORD-10227,2025-02-05,Laptop Pro 14,Electronics,7,1217.94,South,Retail,8525.58,2025-02
ORD-10314,2025-02-05,Office Chair,Furniture,2,226.38,West,Online,452.76,2025-02
ORD-10174,2025-02-07,Wireless Mouse,Electronics,5,42.99,West,Wholesale,214.95,2025-02
ORD-10121,2025-02-08,Wireless Mouse,Electronics,3,42.02,West,Retail,126.06,2025-02
ORD-10081,2025-02-09,Pen Set,Stationery,4,13.34,West,Online,53.36,2025-02
ORD-10322,2025-02-15,Standing Desk,Furniture,6,554.94,North,Wholesale,3329.64,2025-02
ORD-10194,2025-02-15,Office Chair,Furniture,4,260.34,East,Retail,1041.36,2025-02
ORD-10001,2025-02-16,Backpack,Accessories,4,54.91,West,Retail,219.64,2025-02
ORD-10262,2025-02-17,Standing Desk,Furniture,4,467.95,East,Online,1871.8,2025-02
ORD-10118,2025-02-17,Wireless Mouse,Electronics,6,39.33,North,Wholesale,235.98,2025-02
ORD-10201,2025-02-17,Office Chair,Furniture,3,286.19,North,Wholesale,858.57,2025-02
ORD-10128,2025-02-18,Standing Desk,Furniture,3,590.83,West,Wholesale,1772.49,2025-02
ORD-10217,2025-02-19,Office Chair,Furniture,4,287.79,West,Online,1151.16,2025-02
ORD-10220,2025-02-19,Mechanical Keyboard,Electronics,2,90.97,South,Wholesale,181.94,2025-02
ORD-10122,2025-02-20,Backpack,Accessories,3,58.91,West,Wholesale,176.73,2025-02
ORD-10338,2025-02-20,Noise-Canceling Headphones,Electronics,4,207.04,East,Wholesale,828.16,2025-02
ORD-10041,2025-02-21,Noise-Canceling Headphones,Electronics,1,213.52,South,Retail,213.52,2025-02
ORD-10153,2025-02-22,Pen Set,Stationery,2,10.66,South,Retail,21.32,2025-02
ORD-10111,2025-02-24,Standing Desk,Furniture,6,553.62,South,Wholesale,3321.72,2025-02
ORD-10336,2025-02-25,Noise-Canceling Headphones,Electronics,4,254.31,South,Retail,1017.24,2025-02
ORD-10129,2025-02-27,Backpack,Accessories,2,47.41,West,Online,94.82,2025-02
ORD-10210,2025-02-28,Laptop Pro 14,Electronics,6,1439.0,South,Online,8634.0,2025-02
ORD-10258,2025-03-01,Desk Lamp,Furniture,2,42.27,South,Online,84.54,2025-03
ORD-10106,2025-03-02,Laptop Pro 14,Electronics,5,1359.88,West,Online,6799.4,2025-03
ORD-10290,2025-03-02,Desk Lamp,Furniture,7,55.67,North,Wholesale,389.69,2025-03
ORD-10203,2025-03-05,Pen Set,Stationery,6,12.5,South,Online,75.0,2025-03
ORD-10317,2025-03-06,Desk Lamp,Furniture,4,39.1,West,Online,156.4,2025-03
ORD-10050,2025-03-06,Laptop Pro 14,Electronics,7,1203.99,East,Wholesale,8427.93,2025-03
ORD-10281,2025-03-06,Wireless Mouse,Electronics,6,29.95,East,Online,179.7,2025-03
ORD-10244,2025-03-08,Office Chair,Furniture,5,271.94,East,Retail,1359.7,2025-03
ORD-10088,2025-03-10,Noise-Canceling Headphones,Electronics,7,207.22,South,Wholesale,1450.54,2025-03
ORD-10331,2025-03-10,Pen Set,Stationery,6,13.12,South,Online,78.72,2025-03
ORD-10223,2025-03-10,Wireless Mouse,Electronics,7,35.93,East,Wholesale,251.51,2025-03
ORD-10159,2025-03-12,Pen Set,Stationery,4,13.35,South,Wholesale,53.4,2025-03
ORD-10348,2025-03-14,Notebook Pack,Stationery,3,21.23,South,Wholesale,63.69,2025-03
ORD-10259,2025-03-15,Wireless Mouse,Electronics,4,30.0,East,Wholesale,120.0,2025-03
ORD-10000,2025-03-15,Laptop Pro 14,Electronics,6,1432.13,North,Retail,8592.78,2025-03
ORD-10184,2025-03-16,Mechanical Keyboard,Electronics,4,111.01,East,Retail,444.04,2025-03
ORD-10303,2025-03-20,Pen Set,Stationery,5,13.31,North,Online,66.55,2025-03
ORD-10173,2025-03-20,Wireless Mouse,Electronics,7,40.33,East,Wholesale,282.31,2025-03
ORD-10319,2025-03-22,Noise-Canceling Headphones,Electronics,2,225.14,West,Wholesale,450.28,2025-03
ORD-10083,2025-03-23,Noise-Canceling Headphones,Electronics,7,245.17,East,Retail,1716.19,2025-03
ORD-10005,2025-03-24,Wireless Mouse,Electronics,3,35.87,East,Wholesale,107.61,2025-03
ORD-10027,2025-03-25,Office Chair,Furniture,4,234.71,West,Online,938.84,2025-03
ORD-10110,2025-03-26,Pen Set,Stationery,2,11.42,North,Retail,22.84,2025-03
ORD-10092,2025-03-27,Standing Desk,Furniture,3,582.54,West,Wholesale,1747.62,2025-03
ORD-10313,2025-03-27,Laptop Pro 14,Electronics,6,1224.6,West,Retail,7347.6,2025-03
ORD-10152,2025-03-27,Desk Lamp,Furniture,6,45.75,East,Wholesale,274.5,2025-03
ORD-10069,2025-03-29,Office Chair,Furniture,6,259.72,East,Wholesale,1558.32,2025-03
ORD-10306,2025-03-29,Backpack,Accessories,6,63.39,South,Wholesale,380.34,2025-03
ORD-10204,2025-03-29,Notebook Pack,Stationery,4,15.8,West,Retail,63.2,2025-03
ORD-10145,2025-03-29,Notebook Pack,Stationery,5,17.38,South,Retail,86.9,2025-03
ORD-10100,2025-03-30,Pen Set,Stationery,5,13.48,East,Online,67.4,2025-03
ORD-10218,2025-03-31,Office Chair,Furniture,1,299.48,South,Retail,299.48,2025-03
ORD-10073,2025-03-31,Laptop Pro 14,Electronics,4,1092.32,West,Wholesale,4369.28,2025-03
ORD-10320,2025-04-01,Notebook Pack,Stationery,2,17.44,East,Wholesale,34.88,2025-04
ORD-10294,2025-04-04,Notebook Pack,Stationery,1,18.58,South,Wholesale,18.58,2025-04
ORD-10340,2025-04-06,Standing Desk,Furniture,4,523.54,West,Retail,2094.16,2025-04
ORD-10278,2025-04-08,Office Chair,Furniture,4,309.67,North,Online,1238.68,2025-04
ORD-10282,2025-04-10,Notebook Pack,Stationery,2,15.54,North,Wholesale,31.08,2025-04
ORD-10287,2025-04-11,Desk Lamp,Furniture,6,39.01,South,Online,234.06,2025-04
ORD-10140,2025-04-11,Mechanical Keyboard,Electronics,7,86.71,West,Wholesale,606.97,2025-04
ORD-10002,2025-04-12,Office Chair,Furniture,2,227.64,East,Online,455.28,2025-04
ORD-10239,2025-04-14,Wireless Mouse,Electronics,3,33.81,East,Retail,101.43,2025-04
ORD-10127,2025-04-14,Laptop Pro 14,Electronics,7,1393.13,South,Retail,9751.91,2025-04
ORD-10187,2025-04-15,Backpack,Accessories,4,48.82,North,Wholesale,195.28,2025-04
ORD-10355,2025-04-15,Notebook Pack,Stationery,5,19.72,South,Retail,98.6,2025-04
ORD-10225,2025-04-16,Pen Set,Stationery,6,11.38,East,Online,68.28,2025-04
ORD-10224,2025-04-16,Notebook Pack,Stationery,5,17.02,East,Retail,85.1,2025-04
ORD-10292,2025-04-18,Noise-Canceling Headphones,Electronics,5,184.17,South,Online,920.85,2025-04
ORD-10188,2025-04-20,Desk Lamp,Furniture,6,40.53,East,Retail,243.18,2025-04
ORD-10098,2025-04-21,Laptop Pro 14,Electronics,7,1300.875,South,Online,9106.12,2025-04
ORD-10141,2025-04-23,Standing Desk,Furniture,5,525.13,East,Online,2625.65,2025-04
ORD-10310,2025-04-23,Office Chair,Furniture,4,260.18,North,Wholesale,1040.72,2025-04
